Business Contract Tracking Register,,,,,,,,,,,,,
Mock data for illustration purposes only — replace with actual contract records,,,,,,,,,,,,,
,,,,,,,,,,,,,
No.,Types of Services,Name of Contract,Country,Partner,Customer,Note,Effective Date,Start Date,End Date,Responsible By,Remark,Status,Cost of Contract
914,Marketing,Influencer Partnership Contract #1913,Germany,Unity Trading GmbH,Internal - Supply Chain,"Multi-year framework agreement, reviewed yearly",27-ธ.ค.-2022,10-ม.ค.-2023,04-ธ.ค.-2026,Tanawat F.,Alternative vendors being benchmarked,Upcoming renewal,"$487,200"
915,Financial Services,Corporate Banking Services Agreement #1914,Singapore,Crown Consulting Pte Ltd,BlueSky Consulting Pte Ltd,Exclusive regional distribution rights included,07-มิ.ย.-2024,07-มิ.ย.-2024,21-ธ.ค.-2027,Hiroshi C.,Vendor performance review scheduled,Renewed,"$314,400"
916,HR & Payroll,Outsourced Payroll Processing Contract #1915,Germany,Nova Holdings GmbH,Internal - Admin Dept.,Exclusive regional distribution rights included,04-ก.พ.-2025,18-ก.พ.-2025,01-ต.ค.-2027,Suchada T.,Scope extension being discussed with partner,Renewed,"$196,000"
917,IT Services,Network Infrastructure Services #1916,Japan,Solace Consulting K.K.,Internal - Marketing Dept.,Service level agreement reviewed annually,26-ต.ค.-2023,26-ต.ค.-2023,19-พ.ย.-2026,Aiko S.,-,Upcoming renewal,"$449,600"
918,Construction & Maintenance,Building Renovation Contract #1917,Philippines,Cascade Capital Inc.,Granite Capital Inc.,-,05-ม.ค.-2025,05-ม.ค.-2025,20-พ.ย.-2026,Grace E.,No issues reported this cycle,Upcoming renewal,"$502,800"
919,Telecommunications,Internet Leased Line Contract #1918,France,Metro Dynamics SAS,Internal - Marketing Dept.,Includes 24/7 support SLA with penalty clauses,15-พ.ค.-2023,15-พ.ค.-2023,25-มิ.ย.-2026,Wei W.,Relationship manager reassigned this quarter,Expired/Not renewed,"$20,400"
920,Software Licensing,Cybersecurity Software License #1919,Taiwan,"Lumen Ventures Co., Ltd.","Beacon Capital Co., Ltd.",Service level agreement reviewed annually,05-มิ.ย.-2026,19-มิ.ย.-2026,25-พ.ค.-2028,Grace I.,Scope extension being discussed with partner,Renewed,"$2,577,300"
921,Marketing,Creative & Branding Services #1920,Myanmar,"Orion Technologies Co., Ltd.",Internal - HR Dept.,"Multi-year framework agreement, reviewed yearly",19-มี.ค.-2023,19-มี.ค.-2023,10-ธ.ค.-2026,Nathan J.,Vendor performance review scheduled,Negotiation in progress,"$680,300"
922,Training & Development,Corporate Training Program Agreement #1921,Cambodia,"Vertex Technologies Co., Ltd.",Internal - Legal Dept.,"Multi-year framework agreement, reviewed yearly",15-พ.ค.-2023,22-พ.ค.-2023,01-ม.ค.-2027,David O.,Vendor performance review scheduled,Negotiation in progress,"$117,800"
923,Manufacturing Supply,OEM Production Agreement #1922,Singapore,Metro Partners Pte Ltd,Pacific Technologies Pte Ltd,Pricing subject to annual CPI adjustment,28-พ.ย.-2024,28-พ.ย.-2024,03-พ.ค.-2028,Suchada L.,Flagged for cost optimization review,Renewed,"$2,433,100"
924,Travel & Events,Event Management Services Contract #1923,Singapore,Crest Consulting Pte Ltd,Internal - Admin Dept.,"Multi-year framework agreement, reviewed yearly",01-ต.ค.-2023,01-ต.ค.-2023,05-เม.ย.-2026,Wei A.,Budget approval pending for renewal,Expired/Not renewed,"$19,600"
925,IT Services,Data Center Colocation Contract #1924,France,Vanguard Services SAS,Beacon Trading SAS,Exclusive regional distribution rights included,17-พ.ค.-2025,24-พ.ค.-2025,31-ม.ค.-2027,Michael J.,-,Negotiation in progress,"$1,915,600"
926,Waste Management,Recycling Services Agreement #1925,Cambodia,"Granite Consulting Co., Ltd.","NorthStar Ventures Co., Ltd.",Exclusive regional distribution rights included,26-มี.ค.-2025,09-เม.ย.-2025,16-ต.ค.-2026,Ravi I.,-,Upcoming renewal,"$121,300"
927,Logistics,Warehouse Lease & Operation Agreement #1926,India,Global Partners Pvt. Ltd.,Internal - Corporate Affairs,Volume discount tier applies above threshold spend,02-มิ.ย.-2026,02-มิ.ย.-2026,05-พ.ย.-2028,Daniel E.,-,Renewed,"$51,000"
928,Telecommunications,Satellite Communication Contract #1927,United Arab Emirates,Meridian Industries LLC,Internal - Legal Dept.,Includes quarterly business review meetings,09-ก.พ.-2025,16-ก.พ.-2025,19-มี.ค.-2028,Budi C.,Flagged for cost optimization review,Renewed,"$669,900"
929,Waste Management,Hazardous Waste Management Contract #1928,Australia,Sterling Capital Pty Ltd,Internal - IT Security,Includes quarterly business review meetings,18-ก.ย.-2023,18-ก.ย.-2023,24-ธ.ค.-2025,Minji W.,Flagged for cost optimization review,Expired/Not renewed,"$135,800"
930,Insurance,Group Health Insurance Policy #1929,United Arab Emirates,Vanguard Logistics LLC,Nova Systems LLC,Volume discount tier applies above threshold spend,18-มิ.ย.-2024,25-มิ.ย.-2024,16-พ.ย.-2026,Emily S.,Flagged for cost optimization review,Negotiation in progress,"$1,360,600"
931,Financial Services,Corporate Banking Services Agreement #1930,Germany,Vanguard Networks GmbH,Internal - Operations,"Auto-renew clause, 60 days notice required",29-ก.ย.-2027,29-ก.ย.-2027,10-ก.พ.-2029,Sarah F.,Alternative vendors being benchmarked,Renewed,"$928,300"
932,Manufacturing Supply,Raw Material Supply Agreement #1931,Indonesia,Zenith Innovations PT,Bright Trading PT,Exclusive regional distribution rights included,17-พ.ค.-2025,31-พ.ค.-2025,19-ส.ค.-2028,Priya H.,Legal review in progress before renewal,Renewed,"$934,700"
933,HR & Payroll,HR Systems Implementation Contract #1932,Myanmar,"BlueSky Services Co., Ltd.",Internal - Supply Chain,Volume discount tier applies above threshold spend,05-พ.ย.-2024,19-พ.ย.-2024,22-ก.ย.-2026,Anucha D.,-,Upcoming renewal,"$180,000"
934,IT Services,Network Infrastructure Services #1933,United Arab Emirates,Evergreen Logistics LLC,Internal - Supply Chain,-,24-ธ.ค.-2023,24-ธ.ค.-2023,30-ต.ค.-2026,Anucha B.,-,Upcoming renewal,"$174,200"
935,Real Estate & Leasing,Retail Unit Lease Contract #1934,Thailand,"Quantum Holdings Co., Ltd.","Emerald Group Co., Ltd.",-,16-พ.ย.-2023,16-พ.ย.-2023,20-มิ.ย.-2026,Arjun W.,Vendor performance review scheduled,Expired/Not renewed,"$371,500"
936,Printing & Publishing,Annual Report Design & Print Contract #1935,Malaysia,Emerald Industries Sdn Bhd,Apex Ventures Sdn Bhd,Exclusive regional distribution rights included,23-ต.ค.-2021,23-ต.ค.-2021,30-ส.ค.-2025,Wei P.,Scope extension being discussed with partner,Expired/Not renewed,"$62,300"
937,Insurance,Property & Casualty Insurance Contract #1936,Australia,Silverline Industries Pty Ltd,Internal - Procurement,Service level agreement reviewed annually,08-ธ.ค.-2024,08-ธ.ค.-2024,06-ต.ค.-2026,Piyawan C.,"Renewal quote received, under internal review",Upcoming renewal,"$1,497,400"
938,Insurance,Group Health Insurance Policy #1937,Australia,Sterling Industries Pty Ltd,Delta Networks Pty Ltd,"Multi-year framework agreement, reviewed yearly",23-ส.ค.-2023,23-ส.ค.-2023,30-ต.ค.-2024,Priya G.,"Renewal quote received, under internal review",Expired/Not renewed,"$260,100"
939,Logistics,Customs Brokerage Agreement #1938,Singapore,Unity Ventures Pte Ltd,Internal - Finance Dept.,-,21-ต.ค.-2024,21-ต.ค.-2024,03-มี.ค.-2028,Grace K.,-,Renewed,"$1,726,600"
940,Security,Access Control System Contract #1939,China,"Zenith Consulting Co., Ltd.",Internal - Supply Chain,Exclusive regional distribution rights included,05-ก.ค.-2024,05-ก.ค.-2024,25-ม.ค.-2027,Piyawan E.,-,Negotiation in progress,"$364,600"
941,Financial Services,Audit & Assurance Engagement #1940,Australia,Trident Trading Pty Ltd,Internal - Marketing Dept.,Renewal contingent on performance KPIs,14-ก.พ.-2023,14-ก.พ.-2023,14-ธ.ค.-2026,Carlos G.,No issues reported this cycle,Upcoming renewal,"$544,900"
942,Real Estate & Leasing,Equipment Leasing Agreement #1941,Japan,Delta Logistics K.K.,Internal - Procurement,Exclusive regional distribution rights included,21-ก.พ.-2024,21-ก.พ.-2024,22-พ.ค.-2025,Arjun S.,"Renewal quote received, under internal review",Expired/Not renewed,"$1,696,400"
943,Travel & Events,Event Management Services Contract #1942,Germany,Beacon Industries GmbH,Radiant Industries GmbH,-,24-ม.ค.-2023,24-ม.ค.-2023,12-เม.ย.-2024,Hiroshi J.,Alternative vendors being benchmarked,Expired/Not renewed,"$270,700"
944,Telecommunications,Internet Leased Line Contract #1943,Thailand,"Ivory Industries Co., Ltd.",Internal - Finance Dept.,Renewal contingent on performance KPIs,23-พ.ย.-2024,07-ธ.ค.-2024,20-มิ.ย.-2027,Grace A.,-,Renewed,"$573,800"
945,Printing & Publishing,Corporate Printing Services Agreement #1944,India,Solace Logistics Pvt. Ltd.,Internal - Corporate Affairs,"Multi-year framework agreement, reviewed yearly",27-ก.ย.-2022,27-ก.ย.-2022,30-ก.ค.-2025,Arjun D.,Alternative vendors being benchmarked,Expired/Not renewed,"$111,300"
946,Marketing,Influencer Partnership Contract #1945,Australia,Metro Innovations Pty Ltd,Internal - Legal Dept.,Service level agreement reviewed annually,30-มิ.ย.-2026,07-ก.ค.-2026,02-มิ.ย.-2028,Wei J.,"Renewal quote received, under internal review",Renewed,"$199,600"
947,Insurance,Group Health Insurance Policy #1946,India,Lumen Consulting Pvt. Ltd.,Internal - Legal Dept.,Pricing subject to annual CPI adjustment,24-ต.ค.-2024,24-ต.ค.-2024,25-ต.ค.-2026,Somchai H.,Flagged for cost optimization review,Upcoming renewal,"$1,154,400"
948,Waste Management,Recycling Services Agreement #1947,France,Granite Group SAS,Internal - Corporate Affairs,Renewal contingent on performance KPIs,03-ก.ย.-2023,10-ก.ย.-2023,05-ก.ย.-2025,Anucha L.,-,Expired/Not renewed,"$243,900"
949,Real Estate & Leasing,Equipment Leasing Agreement #1948,Vietnam,Meridian Holdings JSC,Internal - Legal Dept.,Exclusive regional distribution rights included,30-ก.ค.-2021,30-ก.ค.-2021,18-ก.ค.-2024,Carlos P.,"Renewal quote received, under internal review",Expired/Not renewed,"$1,733,900"
950,Printing & Publishing,Annual Report Design & Print Contract #1949,United Kingdom,Silverline Holdings Ltd.,Internal - IT Security,Exclusive regional distribution rights included,02-ก.ย.-2020,16-ก.ย.-2020,24-มิ.ย.-2024,Wanida H.,Budget approval pending for renewal,Expired/Not renewed,"$155,300"
951,Consulting,Digital Transformation Consulting #1950,Singapore,Apex Dynamics Pte Ltd,Internal - Corporate Affairs,Volume discount tier applies above threshold spend,19-พ.ค.-2027,19-พ.ค.-2027,02-มิ.ย.-2028,Nattapong L.,"Renewal quote received, under internal review",Renewed,"$1,039,900"
952,Real Estate & Leasing,Retail Unit Lease Contract #1951,Hong Kong,Onyx Group Ltd.,Internal - Finance Dept.,Exclusive regional distribution rights included,27-ก.ค.-2024,27-ก.ค.-2024,07-พ.ค.-2027,Laura D.,-,Renewed,"$1,594,700"
953,Legal,Compliance Advisory Agreement #1952,Singapore,Nova Partners Pte Ltd,Atlas Partners Pte Ltd,Includes quarterly business review meetings,21-ก.พ.-2022,21-ก.พ.-2022,07-มี.ค.-2025,Laura N.,-,Expired/Not renewed,"$306,500"
954,IT Services,Data Center Colocation Contract #1953,India,Sterling Holdings Pvt. Ltd.,Vertex Capital Pvt. Ltd.,Service level agreement reviewed annually,11-ธ.ค.-2023,11-ธ.ค.-2023,24-ต.ค.-2026,Kanokwan L.,Scope extension being discussed with partner,Upcoming renewal,"$2,229,900"
955,Fleet & Transportation,Fleet Maintenance Agreement #1954,Vietnam,Crown Logistics JSC,Internal - E-commerce,Volume discount tier applies above threshold spend,11-ม.ค.-2022,25-ม.ค.-2022,24-ก.ย.-2024,Anucha S.,-,Expired/Not renewed,"$599,000"
956,Insurance,Property & Casualty Insurance Contract #1955,Germany,Horizon Services GmbH,Internal - IT Dept.,"Auto-renew clause, 60 days notice required",31-ธ.ค.-2023,31-ธ.ค.-2023,07-ม.ค.-2025,Wanida D.,Budget approval pending for renewal,Expired/Not renewed,"$1,340,400"
957,Software Licensing,CRM Platform Subscription Agreement #1956,Taiwan,"Pacific Systems Co., Ltd.",Internal - E-commerce,Service level agreement reviewed annually,15-พ.ค.-2025,15-พ.ค.-2025,13-ธ.ค.-2026,Anucha K.,Flagged for cost optimization review,Upcoming renewal,"$1,424,200"
958,HR & Payroll,HR Systems Implementation Contract #1957,Germany,Global Capital GmbH,Pinnacle Enterprises GmbH,Includes quarterly business review meetings,18-ต.ค.-2025,18-ต.ค.-2025,21-ธ.ค.-2028,Sarah B.,Vendor performance review scheduled,Renewed,"$332,600"
959,Software Licensing,Enterprise Software License (ERP) #1958,Cambodia,"Zenith Technologies Co., Ltd.",Internal - Corporate Affairs,"Multi-year framework agreement, reviewed yearly",24-ส.ค.-2027,24-ส.ค.-2027,25-ส.ค.-2028,Daniel I.,Vendor performance review scheduled,Renewed,"$1,231,500"
960,Fleet & Transportation,Fleet Maintenance Agreement #1959,Philippines,Radiant Group Inc.,Metro Partners Inc.,Service level agreement reviewed annually,28-เม.ย.-2023,28-เม.ย.-2023,31-ก.ค.-2024,Piyawan H.,Legal review in progress before renewal,Expired/Not renewed,"$622,000"
961,Legal,Corporate Legal Advisory Retainer #1960,Cambodia,"Global Enterprises Co., Ltd.","Global Networks Co., Ltd.",Exclusive regional distribution rights included,23-ธ.ค.-2025,23-ธ.ค.-2025,01-ก.ย.-2027,Laura G.,Flagged for cost optimization review,Renewed,"$205,200"
962,Telecommunications,Internet Leased Line Contract #1961,France,Quantum Partners SAS,Internal - Supply Chain,Exclusive regional distribution rights included,28-ก.ค.-2024,28-ก.ค.-2024,09-ม.ค.-2028,Sarah P.,Vendor performance review scheduled,Renewed,"$191,400"
963,Logistics,Freight Forwarding Contract #1962,Singapore,Beacon Capital Pte Ltd,Internal - HR Dept.,Renewal contingent on performance KPIs,17-มิ.ย.-2023,17-มิ.ย.-2023,05-พ.ย.-2026,Arjun E.,No issues reported this cycle,Negotiation in progress,"$878,200"
964,Training & Development,E-Learning Platform License #1963,United States,Nova Industries Inc.,Internal - Procurement,"Auto-renew clause, 30 days notice required",20-ต.ค.-2024,27-ต.ค.-2024,21-ม.ค.-2027,Tanawat M.,Relationship manager reassigned this quarter,Negotiation in progress,"$272,400"
965,Software Licensing,Enterprise Software License (ERP) #1964,South Korea,"Onyx Capital Co., Ltd.",Internal - Legal Dept.,Exclusive regional distribution rights included,21-ธ.ค.-2024,04-ม.ค.-2025,14-ก.ค.-2027,Minji L.,"Renewal quote received, under internal review",Renewed,"$2,403,400"
966,Fleet & Transportation,Fleet Maintenance Agreement #1965,Malaysia,Metro Technologies Sdn Bhd,Internal - Admin Dept.,Renewal contingent on performance KPIs,28-ต.ค.-2024,28-ต.ค.-2024,29-ส.ค.-2026,Aiko P.,No issues reported this cycle,Expired/Not renewed,"$308,100"
967,Construction & Maintenance,Elevator Maintenance Contract #1966,Thailand,"Crest Enterprises Co., Ltd.",Internal - Procurement,-,18-พ.ย.-2025,25-พ.ย.-2025,07-ม.ค.-2028,Chloe I.,No issues reported this cycle,Renewed,"$1,347,900"
968,Financial Services,Payment Gateway Services Agreement #1967,Malaysia,Atlas Innovations Sdn Bhd,Internal - Admin Dept.,Exclusive regional distribution rights included,27-พ.ย.-2022,27-พ.ย.-2022,21-พ.ย.-2026,Piyawan K.,-,Negotiation in progress,"$508,400"
969,Marketing,Brand Campaign Agreement #1968,Malaysia,Pinnacle Partners Sdn Bhd,Internal - IT Dept.,Service level agreement reviewed annually,05-พ.ย.-2025,19-พ.ย.-2025,17-มิ.ย.-2027,Siti N.,Scope extension being discussed with partner,Renewed,"$408,300"
970,Consulting,Change Management Engagement #1969,United States,Pacific Logistics Inc.,Internal - Corporate Affairs,"Multi-year framework agreement, reviewed yearly",06-พ.ค.-2026,06-พ.ค.-2026,07-ก.ค.-2028,Budi I.,"Renewal quote received, under internal review",Renewed,"$435,300"
971,Marketing,Influencer Partnership Contract #1970,China,"Solace Industries Co., Ltd.",Internal - Procurement,Volume discount tier applies above threshold spend,24-ม.ค.-2023,31-ม.ค.-2023,18-เม.ย.-2025,Wei A.,Flagged for cost optimization review,Expired/Not renewed,"$801,000"
972,Fleet & Transportation,Corporate Shuttle Service Contract #1971,South Korea,"Pinnacle Systems Co., Ltd.",Internal - Procurement,-,26-ก.ค.-2026,26-ก.ค.-2026,19-ก.ย.-2027,Ahmed O.,Legal review in progress before renewal,Renewed,"$883,000"
973,Consulting,Strategy Advisory Retainer #1972,Philippines,BlueSky Industries Inc.,Evergreen Enterprises Inc.,"Auto-renew clause, 15 days notice required",31-มี.ค.-2023,31-มี.ค.-2023,06-ต.ค.-2026,Carlos E.,Scope extension being discussed with partner,Negotiation in progress,"$757,600"
974,Financial Services,Audit & Assurance Engagement #1973,India,Delta Partners Pvt. Ltd.,BlueSky Innovations Pvt. Ltd.,Service level agreement reviewed annually,04-ก.พ.-2025,11-ก.พ.-2025,04-ก.พ.-2027,Somchai F.,"Renewal quote received, under internal review",Negotiation in progress,"$135,300"
975,Cleaning & Facility,Facility Maintenance Contract #1974,Germany,Pacific Networks GmbH,Internal - Legal Dept.,Includes 24/7 support SLA with penalty clauses,27-พ.ย.-2022,11-ธ.ค.-2022,06-ธ.ค.-2026,Laura O.,Vendor performance review scheduled,Upcoming renewal,"$83,300"
976,Real Estate & Leasing,Equipment Leasing Agreement #1975,France,Cascade Services SAS,Internal - Admin Dept.,Volume discount tier applies above threshold spend,13-ก.ย.-2024,13-ก.ย.-2024,22-เม.ย.-2028,Nattapong G.,-,Renewed,"$4,379,900"
977,HR & Payroll,Recruitment Services Agreement #1976,Taiwan,"Alliance Innovations Co., Ltd.",Internal - IT Security,Renewal contingent on performance KPIs,04-ก.พ.-2025,04-ก.พ.-2025,20-ต.ค.-2026,Suchada R.,Flagged for cost optimization review,Upcoming renewal,"$364,600"
978,Marketing,Digital Marketing Retainer #1977,South Korea,"Lumen Consulting Co., Ltd.",Internal - E-commerce,"Multi-year framework agreement, reviewed yearly",25-ต.ค.-2024,25-ต.ค.-2024,25-ต.ค.-2026,Hiroshi I.,Scope extension being discussed with partner,Negotiation in progress,"$396,400"
979,Marketing,Media Buying Agreement #1978,Hong Kong,NorthStar Dynamics Ltd.,Internal - Procurement,"Auto-renew clause, 15 days notice required",14-ส.ค.-2026,14-ส.ค.-2026,01-มี.ค.-2029,Anucha K.,-,Renewed,"$46,400"
980,IT Services,Cloud Hosting Agreement #1979,Vietnam,Sterling Holdings JSC,Radiant Consulting JSC,"Auto-renew clause, 90 days notice required",23-พ.ย.-2022,07-ธ.ค.-2022,24-พ.ค.-2026,Carlos P.,-,Expired/Not renewed,"$1,647,100"
981,Cleaning & Facility,Facility Maintenance Contract #1980,United States,Sterling Ventures Inc.,Granite Technologies Inc.,Volume discount tier applies above threshold spend,06-ก.พ.-2023,06-ก.พ.-2023,09-ต.ค.-2026,Hiroshi F.,Vendor performance review scheduled,Upcoming renewal,"$177,000"
982,Insurance,Group Health Insurance Policy #1981,Hong Kong,Trident Logistics Ltd.,Internal - Finance Dept.,"Multi-year framework agreement, reviewed yearly",28-ส.ค.-2025,28-ส.ค.-2025,06-ธ.ค.-2026,Chloe O.,Budget approval pending for renewal,Upcoming renewal,"$1,003,200"
983,Construction & Maintenance,Civil Works Contract #1982,Vietnam,Orion Capital JSC,Internal - Legal Dept.,Pricing subject to annual CPI adjustment,11-ม.ค.-2025,11-ม.ค.-2025,12-พ.ย.-2026,Nathan T.,-,Upcoming renewal,"$1,035,600"
984,Financial Services,Audit & Assurance Engagement #1983,India,BlueSky Ventures Pvt. Ltd.,Onyx Logistics Pvt. Ltd.,"Auto-renew clause, 90 days notice required",24-พ.ค.-2023,07-มิ.ย.-2023,04-ม.ค.-2027,Suchada N.,Flagged for cost optimization review,Negotiation in progress,"$374,400"
985,Security,Physical Security & Guard Services #1984,Indonesia,Meridian Logistics PT,Internal - IT Dept.,Includes quarterly business review meetings,10-พ.ค.-2022,10-พ.ค.-2022,27-เม.ย.-2026,Grace I.,Flagged for cost optimization review,Expired/Not renewed,"$141,900"
986,Travel & Events,Corporate Travel Management Agreement #1985,United Arab Emirates,Metro Capital LLC,Internal - Procurement,-,18-มิ.ย.-2025,18-มิ.ย.-2025,30-ต.ค.-2026,Wanida M.,Vendor performance review scheduled,Negotiation in progress,"$281,700"
987,Printing & Publishing,Corporate Printing Services Agreement #1986,Cambodia,"Nova Networks Co., Ltd.",Internal - IT Dept.,Includes quarterly business review meetings,05-ก.ย.-2023,05-ก.ย.-2023,03-ก.พ.-2027,Daniel E.,Relationship manager reassigned this quarter,Negotiation in progress,"$25,300"
988,Logistics,Last-Mile Delivery Partnership #1987,United Kingdom,Titan Ventures Ltd.,Internal - Supply Chain,Service level agreement reviewed annually,30-ต.ค.-2024,30-ต.ค.-2024,24-พ.ย.-2027,Piyawan F.,Scope extension being discussed with partner,Renewed,"$1,001,100"
989,IT Services,Network Infrastructure Services #1988,Vietnam,Crest Ventures JSC,Internal - Operations,Renewal contingent on performance KPIs,24-พ.ย.-2025,08-ธ.ค.-2025,15-เม.ย.-2028,Nattapong H.,Legal review in progress before renewal,Renewed,"$1,767,700"
990,Construction & Maintenance,Elevator Maintenance Contract #1989,Indonesia,Beacon Logistics PT,Bright Logistics PT,Renewal contingent on performance KPIs,14-ก.ย.-2024,14-ก.ย.-2024,15-พ.ย.-2026,Suchada J.,No issues reported this cycle,Negotiation in progress,"$408,800"
991,Construction & Maintenance,Building Renovation Contract #1990,Malaysia,Vanguard Industries Sdn Bhd,Pacific Consulting Sdn Bhd,"Multi-year framework agreement, reviewed yearly",18-เม.ย.-2026,02-พ.ค.-2026,08-ส.ค.-2027,Siti R.,"Renewal quote received, under internal review",Renewed,"$1,951,800"
992,Consulting,Strategy Advisory Retainer #1991,United Arab Emirates,Silverline Partners LLC,Internal - Supply Chain,-,19-มี.ค.-2023,19-มี.ค.-2023,22-ส.ค.-2024,Piyawan N.,Relationship manager reassigned this quarter,Expired/Not renewed,"$1,105,000"
993,Construction & Maintenance,Building Renovation Contract #1992,United Kingdom,Pacific Dynamics Ltd.,Zenith Capital Ltd.,Exclusive regional distribution rights included,15-ก.ค.-2025,29-ก.ค.-2025,27-ก.ย.-2026,Somchai F.,Flagged for cost optimization review,Negotiation in progress,"$235,800"
994,Cleaning & Facility,Facility Maintenance Contract #1993,Myanmar,"Ivory Solutions Co., Ltd.",Internal - HR Dept.,-,25-มี.ค.-2025,01-เม.ย.-2025,02-ธ.ค.-2026,Tanawat P.,Alternative vendors being benchmarked,Negotiation in progress,"$321,700"
995,Financial Services,Corporate Banking Services Agreement #1994,Myanmar,"Falcon Partners Co., Ltd.","Meridian Technologies Co., Ltd.","Multi-year framework agreement, reviewed yearly",05-เม.ย.-2026,05-เม.ย.-2026,12-พ.ย.-2028,Budi R.,Alternative vendors being benchmarked,Renewed,"$553,100"
996,Printing & Publishing,Corporate Printing Services Agreement #1995,United Arab Emirates,Bright Solutions LLC,Internal - HR Dept.,Includes 24/7 support SLA with penalty clauses,18-ก.พ.-2021,18-ก.พ.-2021,19-ธ.ค.-2024,Wei F.,Budget approval pending for renewal,Expired/Not renewed,"$19,300"
997,Construction & Maintenance,Elevator Maintenance Contract #1996,Germany,Meridian Consulting GmbH,Internal - IT Dept.,Pricing subject to annual CPI adjustment,26-เม.ย.-2024,26-เม.ย.-2024,17-พ.ค.-2027,James R.,Relationship manager reassigned this quarter,Renewed,"$1,561,600"
998,Software Licensing,Enterprise Software License (ERP) #1997,Germany,Delta Logistics GmbH,Internal - Marketing Dept.,"Auto-renew clause, 90 days notice required",20-พ.ค.-2025,20-พ.ค.-2025,14-ส.ค.-2026,James N.,Scope extension being discussed with partner,Expired/Not renewed,"$2,627,600"
999,Financial Services,Treasury Management Contract #1998,United Kingdom,Vanguard Consulting Ltd.,Prime Ventures Ltd.,Includes quarterly business review meetings,24-เม.ย.-2025,24-เม.ย.-2025,14-พ.ย.-2026,Siti C.,Budget approval pending for renewal,Negotiation in progress,"$774,600"
1000,Logistics,Customs Brokerage Agreement #1999,Germany,Granite Holdings GmbH,Internal - Marketing Dept.,Renewal contingent on performance KPIs,10-ม.ค.-2023,24-ม.ค.-2023,11-พ.ย.-2024,Ploy N.,Legal review in progress before renewal,Expired/Not renewed,"$419,000"
1001,Logistics,Customs Brokerage Agreement #2000,Malaysia,Metro Technologies Sdn Bhd,Global Capital Sdn Bhd,"Multi-year framework agreement, reviewed yearly",04-ก.พ.-2023,04-ก.พ.-2023,21-ม.ค.-2027,Carlos K.,Budget approval pending for renewal,Negotiation in progress,"$763,100"
1002,Real Estate & Leasing,Equipment Leasing Agreement #2001,Malaysia,Summit Group Sdn Bhd,Anchor Solutions Sdn Bhd,Service level agreement reviewed annually,03-ต.ค.-2025,03-ต.ค.-2025,12-ก.พ.-2027,Suchada R.,Relationship manager reassigned this quarter,Negotiation in progress,"$1,464,500"
1003,Telecommunications,Satellite Communication Contract #2002,Cambodia,"BlueSky Ventures Co., Ltd.","Pinnacle Networks Co., Ltd.",Includes quarterly business review meetings,19-พ.ค.-2025,19-พ.ค.-2025,08-ธ.ค.-2028,Arjun S.,Flagged for cost optimization review,Renewed,"$624,600"
1004,Financial Services,Corporate Banking Services Agreement #2003,Cambodia,"Atlas Industries Co., Ltd.",Internal - Corporate Affairs,Volume discount tier applies above threshold spend,17-ก.ย.-2023,17-ก.ย.-2023,19-ต.ค.-2025,Arjun A.,Scope extension being discussed with partner,Expired/Not renewed,"$893,800"
1005,Insurance,Cyber Liability Insurance Policy #2004,Indonesia,Delta Ventures PT,Internal - IT Dept.,"Auto-renew clause, 60 days notice required",10-ก.ย.-2026,17-ก.ย.-2026,15-พ.ค.-2028,Nattapong S.,Vendor performance review scheduled,Renewed,"$1,152,800"
1006,Consulting,Digital Transformation Consulting #2005,India,Onyx Industries Pvt. Ltd.,Internal - Admin Dept.,Includes quarterly business review meetings,26-พ.ค.-2023,09-มิ.ย.-2023,18-มี.ค.-2025,Yuki H.,Budget approval pending for renewal,Expired/Not renewed,"$918,100"
1007,Manufacturing Supply,Component Manufacturing Contract #2006,Malaysia,NorthStar Networks Sdn Bhd,Internal - E-commerce,Volume discount tier applies above threshold spend,21-เม.ย.-2023,28-เม.ย.-2023,21-ก.พ.-2025,Grace T.,Alternative vendors being benchmarked,Expired/Not renewed,"$2,677,600"
1008,Fleet & Transportation,Vehicle Leasing Agreement #2007,United Kingdom,Falcon Networks Ltd.,Internal - Admin Dept.,Pricing subject to annual CPI adjustment,01-ก.ย.-2024,15-ก.ย.-2024,09-ต.ค.-2026,Tanawat N.,Legal review in progress before renewal,Upcoming renewal,"$296,100"
1009,Consulting,Digital Transformation Consulting #2008,China,"Vanguard Partners Co., Ltd.",Internal - Operations,Renewal contingent on performance KPIs,12-ก.ค.-2022,12-ก.ค.-2022,17-มี.ค.-2026,Piyawan A.,No issues reported this cycle,Expired/Not renewed,"$41,100"
1010,Software Licensing,CRM Platform Subscription Agreement #2009,United Kingdom,Meridian Logistics Ltd.,Internal - HR Dept.,Volume discount tier applies above threshold spend,04-ก.พ.-2026,04-ก.พ.-2026,20-ธ.ค.-2028,Wanida C.,Flagged for cost optimization review,Renewed,"$167,600"
1011,Logistics,Freight Forwarding Contract #2010,Myanmar,"Cascade Consulting Co., Ltd.",Internal - Corporate Affairs,Includes 24/7 support SLA with penalty clauses,30-ต.ค.-2023,30-ต.ค.-2023,02-ต.ค.-2027,Michael B.,Vendor performance review scheduled,Renewed,"$1,575,700"
